model_path,region,project_name,g_hi,g_cnt,p_hi,p_cnt,duplicate
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region7\deliverables\Tickfaw_RAS_Setupdelivery\RAS\TI_TickfawCrk,Region7,TickfawCrk,TickfawCrk.g07,1,TickfawCrk.p11,1,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region7\deliverables\Tickfaw_RAS_Setupdelivery\RAS\TI_Tickfaw1D,Region7,Tickfaw,Tickfaw.g04,2,Tickfaw.p07,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region7\deliverables\Tickfaw_RAS_Setupdelivery\RAS\TI_Natalbany,Region7,Tickfaw_Natalbany,Tickfaw_Natalbany.g05,2,Tickfaw_Natalbany.p07,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region7\deliverables\Tickfaw_RAS_Setupdelivery\RAS\TI_MiddleTickfaw,Region7,MT,MT.g05,1,MT.p12,1,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region7\deliverables\Tickfaw_RAS_Setupdelivery\RAS\TI_LizardCrk,Region7,LizardCrk2,LizardCrk2.g04,2,LizardCrk2.p15,4,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region7\deliverables\Tangipahoa_RAS_Initial\Survey\Leveraged\Hwy 1077-1085 Drainage Study\Appendix L\Final HecRas Existing,Region7,FinalExisting6-14,FinalExisting6-14.g06,8,FinalExisting6-14.p09,9,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region7\deliverables\Tangipahoa_RAS_Initial\RAS\MUT,Region7,TA_MUT,TA_MUT.g06,1,TA_MUT.p01,2,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region7\deliverables\Tangipahoa_RAS_Initial\RAS\MLT,Region7,MiddleLowerTang_MLT,MiddleLowerTang_MLT.g14,2,MiddleLowerTang_MLT.p11,2,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region7\deliverables\Tangipahoa_RAS_Initial\RAS\LT,Region7,LT,LT.g02,2,LT.p03,2,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region7\deliverables\Tangipahoa_RAS_Backcheck\To_Reviewer\Survey\Leveraged\Hwy 1077-1085 Drainage Study\Appendix L\Final HecRas Existing,Region7,FinalExisting6-14,FinalExisting6-14.g06,8,FinalExisting6-14.p09,9,True
